编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,,smiles,inchi,inchikey,药材名称
SGL-001,木糖醇,Xylitol,87-99-0,152.1458, C5H12O5,,糖苷类,,OCC(C(C(CO)O)O)O,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2",HEBKCHPVOIAQTA-UHFFFAOYSA-N,丝瓜络
SGL-002,木聚糖,xylan, 9014-63-5,166.129,C5H10O6,,糖苷类,,O[C@@H]1CO[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5-/m1/s1",SRBFZHDQGSBBOR-KKQCNMDGSA-N,丝瓜络
SGL-003,甘露聚糖,mannan,"9036-88-8	",666.578,C24H42O21,,糖苷类,,OC1C(O)C(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)OC(CO)C1OC(O4)C(O)C(O)C(O)C4CO,"InChI=1S/C24H42O21/c25-1-5-9(29)10(30)15(35)22(40-5)44-19-7(3-27)42-24(17(37)12(19)32)45-20-8(4-28)41-23(16(36)13(20)33)43-18-6(2-26)39-21(38)14(34)11(18)31/h5-38H,1-4H2",LUEWUZLMQUOBSB-UHFFFAOYSA-N,丝瓜络
SGL-004,半乳聚糖,galactan,39300-87-3,532.49,"C20H36O16	",,糖苷类,16.75,COC1OC(C(C(C1O)O)OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)OC)CO)CO)CO,"InChI=1S/C20H36O16/c1-30-15-6(3-21)33-19(13(28)9(15)24)36-17-8(5-23)34-20(14(29)11(17)26)35-16-7(4-22)32-18(31-2)12(27)10(16)25/h6-29H,3-5H2,1-2H3",HYRUXGRHTJRKNG-UHFFFAOYSA-N,丝瓜络
SGL-005,纤维素,cellulose,9004-34-6,"
370.1547",C14H26O11,,酚酸类,,COC1OC(C(C(C1O)O)OC2OC(C(C(C2O)O)OC)CO)CO,"InChI=1S/C14H26O11/c1-21-11-5(3-15)24-14(10(20)7(11)17)25-12-6(4-16)23-13(22-2)9(19)8(12)18/h5-20H,3-4H2,1-2H3",PTHCMJGKKRQCBF-UHFFFAOYSA-N,丝瓜络
SGL-006,木质素,Lignicol,153765-43-6,"	240.2094",C11H12O6,,苯丙素类,,CC1C(O)C2=CC(O)=C(OC)C(O)=C2C(O1)=O,"InChI=1S/C11H12O6/c1-4-8(13)5-3-6(12)10(16-2)9(14)7(5)11(15)17-4/h3-4,8,12-14H,1-2H3",ZLLQQKITWRWKTD-UHFFFAOYSA-N,丝瓜络
SGL-007,二乙二醇硬脂酸酯,Diethylene glycol monostearate,106-11-6,372.5824,"C22H44O4	",,酚酸类,,CCCCCCCCCCCCCCCCCC(OCCOCCO)=O,"InChI=1S/C22H44O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(24)26-21-20-25-19-18-23/h23H,2-21H2,1H3",PWVUXRBUUYZMKM-UHFFFAOYSA-N,丝瓜络
SGL-008,顺式十六烯醛,hexadec-10-enal,"68279-24-3	",238.409,"C16H30O	",,其他,,O=CCCCCCCCC/C=C/CCCCC,"InChI=1S/C16H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h6-7,16H,2-5,8-15H2,1H3/b7-6+",NBLCOWKIHZCSCF-VOTSOKGWSA-N,丝瓜络
SGL-009,十八烷酸丙酯,3-stearoyl-sn-glycerol,14811-92-8,358.556,C21H42O4,,酚酸类,,O=C(CCCCCCCCCCCCCCCCC)OCC(CO)O,"InChI=1S/C21H42O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h20,22-23H,2-19H2,1H3",VBICKXHEKHSIBG-UHFFFAOYSA-N,丝瓜络
SGL-010,对香豆酸,p-Hydroxycinnamic Acid,501-98-4,164.158,C9H8O3,,苯丙素类,,O=C(/C=C/C1=CC=C(C=C1)O)O,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,丝瓜络
SGL-011,, 1-O-feruloyl-β-D-glucose,7196-71-6,356.325,C16H20O9,,酚酸类,,O=C(/C=C/C1=CC=C(C(OC)=C1)O)OC2OC(C(C(C2O)O)O)CO,"InChI=1S/C16H20O9/c1-23-10-6-8(2-4-9(10)18)3-5-12(19)25-16-15(22)14(21)13(20)11(7-17)24-16/h2-6,11,13-18,20-22H,7H2,1H3/b5-3+",JWRQVQWBNRGGPK-HWKANZROSA-N,丝瓜络
SGL-012,, 1-O-p-coumaroyl-β-D-glucose,7139-64-2,326.3,C15H18O8,,酚酸类,,O=C(/C=C/C1=CC=C(C=C1)O)OC2OC(C(C(C2O)O)O)CO,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+",DSNCQKUYZOSARM-ZZXKWVIFSA-N,丝瓜络
SGL-013,,1-O-caffeoyl-β-D-glucose,14364-08-0,342.3,C15H18O9,,酚酸类,,O=C(/C=C/C1=CC=C(C(O)=C1)O)OC2OC(C(C(C2O)O)O)CO,"InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(23-10)24-11(19)4-2-7-1-3-8(17)9(18)5-7/h1-5,10,12-18,20-22H,6H2/b4-2+",WQSDYZZEIBAPIN-DUXPYHPUSA-N,丝瓜络
SGL-014,1-O-（4-羟基苯甲酰基）葡萄糖,1-O-(4-hydroxybenzoyl)glucose,134567-18-3,314.2879,C14H18O8,,糖苷类,,COC1=CC=C(C(OC2C(C(C(C(O2)CO)O)O)O)=O)C=C1,"InChI=1S/C14H18O8/c1-20-8-4-2-7(3-5-8)13(19)22-14-12(18)11(17)10(16)9(6-15)21-14/h2-5,9-12,14-18H,6H2,1H3",MKUSYNYOQWAPFA-UHFFFAOYSA-N,丝瓜络
SGL-015,香叶木素-7-O-β-D-葡萄糖醛酸苷, diosmetin-7-O-β-D-glucuronide methyl ester,35110-20-4,476.39,C22H20O12,,黄酮类,,O=C(C1OC(C(C(C1O)O)O)OC2=CC(O)=C3C(C=C(C4=CC(O)=C(OC)C=C4)OC3=C2)=O)O,"InChI=1S/C22H20O12/c1-31-13-3-2-8(4-10(13)23)14-7-12(25)16-11(24)5-9(6-15(16)33-14)32-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-7,17-20,22-24,26-28H,1H3,(H,29,30)",XCKMDTYMOHXUHG-UHFFFAOYSA-N,丝瓜络
SGL-016,芹菜素-7-O-葡萄糖醛酸甲酯苷,apigenin-7-O-β-D-glucuronide methyl ester,53538-13-9,460.39,C22H20O11,,黄酮类,,O=C(C1OC(C(C(C1O)O)O)OC2=CC(O)=C3C(C=C(C4=CC=C(O)C=C4)OC3=C2)=O)OC,"InChI=1S/C22H20O11/c1-30-21(29)20-18(27)17(26)19(28)22(33-20)31-11-6-12(24)16-13(25)8-14(32-15(16)7-11)9-2-4-10(23)5-3-9/h2-8,17-20,22-24,26-28H,1H3",XXKIWCKZQFBXIR-UHFFFAOYSA-N,丝瓜络
SGL-017,木犀草素-7-O-β-D-葡糖苷酸甲酯, luteolin-7-O-β-D-glucuronide methyl ester,/,492.4,C22H20O13,,黄酮类,,O=C(C1=C(O)C=C(OCOC(C2C(O)C(O)C(O)C(O)O2)=O)C=C1O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C22H20O13/c23-10-2-1-8(3-11(10)24)14-6-13(26)16-12(25)4-9(5-15(16)34-14)32-7-33-22(31)20-18(28)17(27)19(29)21(30)35-20/h1-6,17-21,23-25,27-30H,7H2",YIQKLOFYCCOMQC-UHFFFAOYSA-N,丝瓜络
SGL-018,十六烷,Hexadecane,544-76-3,226.44,C16H34,,其他,,CCCCCCCCCCCCCCCC,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",DCAYPVUWAIABOU-UHFFFAOYSA-N,丝瓜络
SGL-019,"2,6,10-三甲基十五烷","2,6,10-trimethylpentadecane",3892-00-0,254.49,C18H38,,其他,,CCCCCC(CCCC(CCCC(C)C)C)C,"InChI=1S/C18H38/c1-6-7-8-12-17(4)14-10-15-18(5)13-9-11-16(2)3/h16-18H,6-15H2,1-5H3",LBWPYRZGHYVSEL-UHFFFAOYSA-N,丝瓜络
SGL-020,植烷,Phytane,638-36-8,282.55,C20H42,,其他,,CCC(CCCC(CCCC(CCCC(C)C)C)C)C,"InChI=1S/C20H42/c1-7-18(4)12-9-14-20(6)16-10-15-19(5)13-8-11-17(2)3/h17-20H,7-16H2,1-6H3",GGYKPYDKXLHNTI-UHFFFAOYSA-N,丝瓜络
SGL-021,十五烷酸,Pentadecanoic acid,1002-84-2,242.4,C15H30O2,,酚酸类,,O=C(CCCCCCCCCCCCCC)O,"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)",WQEPLUUGTLDZJY-UHFFFAOYSA-N,丝瓜络
SGL-022,"6,10,14-三甲基-2-十五烷酮","6,10,14-trimethylpentadecan-2-one","	502-69-2",268.48,C18H36O,,其他,,O=C(CCCC(CCCC(CCCC(C)C)C)C)C,"InChI=1S/C18H36O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h15-17H,6-14H2,1-5H3",WHWDWIHXSPCOKZ-UHFFFAOYSA-N,丝瓜络
SGL-023,邻苯二甲酸二异酯,"1,2-Benzenedicarboxylic acid,bis(2-methylpropyl)ester",84-69-5,278.3435,C16H22O4,,苯丙素类,,O=C(C1=C(C(OCC(C)C)=O)C=CC=C1)OCC(C)C,"InChI=1S/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3",MGWAVDBGNNKXQV-UHFFFAOYSA-N,丝瓜络
SGL-024,1-十四烷醇,1-Tetradecanol,112-72-1,214.39,C14H30O,,酚酸类,,OCCCCCCCCCCCCCC,"InChI=1S/C14H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h15H,2-14H2,1H3",HLZKNKRTKFSKGZ-UHFFFAOYSA-N,丝瓜络
SGL-025,月植醇肉豆寇酸酯,"Tetradecanoic acid,dodecyl ester",2040-64-4,396.6899,C26H52O2,,其他,,O=C(CCCCCCCCCCCCC)OCCCCCCCCCCCC,"InChI=1S/C26H52O2/c1-3-5-7-9-11-13-15-16-18-20-22-24-26(27)28-25-23-21-19-17-14-12-10-8-6-4-2/h3-25H2,1-2H3",DFQOCHPHORLRID-UHFFFAOYSA-N,丝瓜络
SGL-026,二十一烷酸,Heneicosane,629-94-7,296.6,C21H44,,其他,,CCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C21H44/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h3-21H2,1-2H3",FNAZRRHPUDJQCJ-UHFFFAOYSA-N,丝瓜络
SGL-027,棕榈酸甲酯,"Hexadecanoic acid,methyl ester",112-39-0,270.4507, C17H34O2,,其他,,O=C(CCCCCCCCCCCCCCC)OC,"InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3",FLIACVVOZYBSBS-UHFFFAOYSA-N,丝瓜络
SGL-028,邻苯二甲酸正丁异辛酸,"1,2-Benzenedicarboxylic acid,butyl octyl ester",84-78-6,334.4498,C20H30O4,,苯丙素类,,O=C(C1=C(C(OCCCCCCCC)=O)C=CC=C1)OCCCC,"InChI=1S/C20H30O4/c1-3-5-7-8-9-12-16-24-20(22)18-14-11-10-13-17(18)19(21)23-15-6-4-2/h10-11,13-14H,3-9,12,15-16H2,1-2H3",MURWRBWZIMXKGC-UHFFFAOYSA-N,丝瓜络
SGL-029,n-棕榈酸,n-Hexadecanoic acid,1957/10/3,256.4241,C16H32O2,,酚酸类,,OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,丝瓜络
SGL-030,棕榈酸异丙酯,Isopropyl Palmitate,142-91-6,298.51,C19H38O2,,其他,,CCCCCCCCCCCCCCCC(OC(C)C)=O,"InChI=1S/C19H38O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(20)21-18(2)3/h18H,4-17H2,1-3H3",XUGNVMKQXJXZCD-UHFFFAOYSA-N,丝瓜络
SGL-031,二十烷酸,Eicosanoic acid,506-30-9,312.5304,C20H40O2,,酚酸类,,CCCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,丝瓜络
SGL-032, 十八烷酸,Octadecanoic acid,1957/11/4,284.4772,C18H36O2,,酚酸类,,CCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,丝瓜络
SGL-033,二十三烷,Tricosane,638-67-5,324.6272,C23H48,,其他,,CCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C23H48/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h3-23H2,1-2H3",FIGVVZUWCLSUEI-UHFFFAOYSA-N,丝瓜络
SGL-034,17-十八炔酸,17-Octadeynoic acid,34450-18-5,280.4455,C18H32O2,,酚酸类,,O=C(CCCCCCCCCCCCCCCC#C)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h1H,3-17H2,(H,19,20)",DZIILFGADWDKMF-UHFFFAOYSA-N,丝瓜络
SGL-035,顺式-9-十六烯醛,cis-9-Hexadecenal,56219-04-6,238.4088,C16H30O,,其他,,O=CCCCCCCC/C=C/CCCCCC,"InChI=1S/C16H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h7-8,16H,2-6,9-15H2,1H3/b8-7+",QFPVVMKZTVQDTL-BQYQJAHWSA-N,丝瓜络
SGL-036, 二乙二醇硬脂酸酯,"Octadecanoic acid,2-(2-hydroxyethoxy)ethyl ester",106-11-6,372.5824,C22H44O4,,酚酸类,,O=C(CCCCCCCCCCCCCCCCC)OCCOCCO,"InChI=1S/C22H44O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(24)26-21-20-25-19-18-23/h23H,2-21H2,1H3",PWVUXRBUUYZMKM-UHFFFAOYSA-N,丝瓜络
SGL-037,亚油酸甲酯,"9,12-Octadecadienoicacid,methyl ester",2462-85-3,294.4721,C19H34O2,,其他,,O=C(CCCCCCC/C=C/C/C=C/CCCCC)OC,"InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7+,11-10+",WTTJVINHCBCLGX-ZDVGBALWSA-N,丝瓜络
SGL-038,亚麻子油酸,Glyceryl linolenate,18465-99-1,352.5,C21H36O4,,酚酸类,,CC/C=C\C/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O,"InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-",GGJRAQULURVTAJ-PDBXOOCHSA-N,丝瓜络
SGL-039,十九烷酸,Nonadecanoic acid,646-30-0,298.5038,C19H38O2,,酚酸类,,O=C(CCCCCCCCCCCCCCCCCC)O,"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)",ISYWECDDZWTKFF-UHFFFAOYSA-N,丝瓜络
SGL-040, 十八烷酸丙酯,"Octadecanoic acid,propyl ester",3634-92-2,326.557,C21H42O2,,其他,,O=C(CCCCCCCCCCCCCCCCC)OCCC,"InChI=1S/C21H42O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21(22)23-20-4-2/h3-20H2,1-2H3",BTAXGNQLYFDKEF-UHFFFAOYSA-N,丝瓜络
SGL-041,二十八烷,Octacosane,630-02-4,394.7601, C28H58,,其他,,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C28H58/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-28H2,1-2H3",ZYURHZPYMFLWSH-UHFFFAOYSA-N,丝瓜络
SGL-042,"4,8,12,16-四甲基十七碳烷-4-交醇","4,8,12,16-Tetramethylheptadecan-4-olide",96168-15-9,324.5411,C21H40O2,,其他,,O=C1OC(CC1)(CCCC(CCCC(CCCC(C)C)C)C)C,"InChI=1S/C21H40O2/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-15-21(5)16-14-20(22)23-21/h17-19H,6-16H2,1-5H3",LGWNRNDWDZHUNP-UHFFFAOYSA-N,丝瓜络
SGL-043,三十六烷,Hexatriacontane,630-06-8,506.9728,C36H74,,其他,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C36H74/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-36H2,1-2H3",YDLYQMBWCWFRAI-UHFFFAOYSA-N,丝瓜络
SGL-044, 邻苯二甲酯二十三酸,"1,2-Benzenedicarboxylic acid,ditridecyl ester",119-06-2,530.82,C34H58O4,,苯丙素类,,O=C(C1=C(C(OCCCCCCCCCCCCC)=O)C=CC=C1)OCCCCCCCCCCCCC,"InChI=1S/C34H58O4/c1-3-5-7-9-11-13-15-17-19-21-25-29-37-33(35)31-27-23-24-28-32(31)34(36)38-30-26-22-20-18-16-14-12-10-8-6-4-2/h23-24,27-28H,3-22,25-26,29-30H2,1-2H3",YCZJVRCZIPDYHH-UHFFFAOYSA-N,丝瓜络
SGL-045, 四十四烷,Tetratetracontane,7098-22-8,619.2,C44H90,,其他,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C44H90/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-43-44-42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-44H2,1-2H3",KMXFZRSJMDYPPG-UHFFFAOYSA-N,丝瓜络
SGL-046,11-睽基二十四烷,"Tetracosane,11-decyl",55429-84-0,478.9196,C34H70,,其他,,CCCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,"InChI=1S/C34H70/c1-4-7-10-13-16-19-20-21-24-27-30-33-34(31-28-25-22-17-14-11-8-5-2)32-29-26-23-18-15-12-9-6-3/h34H,4-33H2,1-3H3",BVMGLUHWZZEDRX-UHFFFAOYSA-N,丝瓜络
SGL-047,角鲨烯,Squalene,111-02-4,410.7,C30H50,,其他,,C/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C=C(CC/C=C(CC/C=C(C)\C)\C)\C,"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+",YYGNTYWPHWGJRM-AAJYLUCBSA-N,丝瓜络
