编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,,,,
DG-001,(E)-藁本内酯,(E)-ligustilide,4431-01-0,C12H14O2,190.2420 ,,挥发油,CCC/C=C1C2=C(C(O/1)=O)C=CCC2,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",IQVQXVFMNOFTMU-FLIBITNWSA-N,当归
DG-002,新藁本内酯,neoligustilide,/,C12H14O2,190.2420 ,,挥发油,O=C1O/C(C2=C1C=CCC2)=C/CCC,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8+",IQVQXVFMNOFTMU-DHZHZOJOSA-N,当归
DG-003,,homosenkyunolide H,/,C13H18O4,238.2830 ,,挥发油,OC1CCC2=C(C(O/C2=C\CCCC)=O)C1O,"InChI=1S/C13H18O4/c1-2-3-4-5-10-8-6-7-9(14)12(15)11(8)13(16)17-10/h5,9,12,14-15H,2-4,6-7H2,1H3/b10-5-",RPQMMYCOKKAFTQ-YHYXMXQVSA-N,当归
DG-004,,homosenkyunolide I,/,C13H18O4,238.2830 ,,挥发油,CCCC/C=C1OC(C2=C\1CC[C@@H](O)C2O)=O,"InChI=1S/C13H18O4/c1-2-3-4-5-10-8-6-7-9(14)12(15)11(8)13(16)17-10/h5,9,12,14-15H,2-4,6-7H2,1H3/b10-5-/t9-,12?/m1/s1",RPQMMYCOKKAFTQ-BTTZMSGNSA-N,当归
DG-005,当归酸(Z)-藁苯内酯-11-醇酯,11-angeloylsenkyunolide F,/,C17H20O4,288.3430 ,,苯丙素,O=C(O/C1=C\C(OC(/C(C)=C\C)=O)CC)C2=C1CCC=C2,"InChI=1S/C17H20O4/c1-4-11(3)16(18)20-12(5-2)10-15-13-8-6-7-9-14(13)17(19)21-15/h4,7,9-10,12H,5-6,8H2,1-3H3/b11-4-,15-10-",JZZIVNUYKVAAGC-ACUFNPKWSA-N,当归
DG-006,"2,7-二羟基-藁本内酯","1(3H)-isobenzofuranone, 3-butylidene-3a,4,5,7a-tetrahydro-3a,7a-dihydroxy- (9CI, ACI)",/,C12H16O4,224.2560 ,,挥发油,O=C(O/1)C2(O)C=CCCC2(O)C1=C\CCC,"InChI=1S/C12H16O4/c1-2-3-6-9-11(14)7-4-5-8-12(11,15)10(13)16-9/h5-6,8,14-15H,2-4,7H2,1H3/b9-6-",SDCZSDPLBVZMKJ-TWGQIWQCSA-N,当归
DG-007,"8,11-二羟基-藁本内酯","1(3H)-isobenzofuranone, 4,5-dihydro-3-hydroxy-3-(2-hydroxybutyl)- (9CI, ACI)",/,C17H20O4,288.3430 ,,挥发油,CC(OC(/C(C)=C\C)=O)CCC1OC(C2=CC=CC=C21)=O,"InChI=1S/C17H20O4/c1-4-11(2)16(18)20-12(3)9-10-15-13-7-5-6-8-14(13)17(19)21-15/h4-8,12,15H,9-10H2,1-3H3/b11-4-",JSAGVPHDQLARCV-WCIBSUBMSA-N,当归
DG-008,,10-angeloylbutylphthalide,/,C13H18O4,238.2830 ,,挥发油,O[C@H]1CCC2=C(C(O/C2=C\CCC)=O)[C@@H]1OC,"InChI=1S/C13H18O4/c1-3-4-5-10-8-6-7-9(14)12(16-2)11(8)13(15)17-10/h5,9,12,14H,3-4,6-7H2,1-2H3/b10-5-/t9-,12?/m0/s1",XJEUNELMMQEXLN-SCFYFGTPSA-N,当归
DG-009,Z-6-羟基-7-甲氧基-藁本内酯,Z-6-hydroxyl-7-methoxyligustilide,/,C14H18O5,266.2930 ,,挥发油,CCC/C=C1OC(C2=C\1CC[C@@H](O)[C@H]2OC(C)=O)=O,"InChI=1S/C14H18O5/c1-3-4-5-11-9-6-7-10(16)13(18-8(2)15)12(9)14(17)19-11/h5,10,13,16H,3-4,6-7H2,1-2H3/b11-5-/t10-,13-/m1/s1",YEQXOFUEVRHYOA-QAHDKZLHSA-N,当归
DG-010,洋川芎内酯 H-7-乙酸酯,senkyunolide H-7-acetate,/,C12H16O5,240.2550 ,,挥发油,CC[C@@H](O)/C=C1OC(C2=C\1CC[C@H](O)[C@H]2O)=O,"InChI=1S/C12H16O5/c1-2-6(13)5-9-7-3-4-8(14)11(15)10(7)12(16)17-9/h5-6,8,11,13-15H,2-4H2,1H3/b9-5-/t6-,8+,11-/m1/s1",XJGANEFDEDYAJS-QPICXUTDSA-N,当归
DG-011,洋川芎内酯 R,senkyunolide R,172549-37-0,C12H16O5,240.2550 ,,挥发油,CC[C@@H](O)/C=C1OC(C2=C\1CC[C@@H](O)[C@@H]2O)=O,"InChI=1S/C12H16O5/c1-2-6(13)5-9-7-3-4-8(14)11(15)10(7)12(16)17-9/h5-6,8,11,13-15H,2-4H2,1H3/b9-5-/t6-,8-,11+/m1/s1",XJGANEFDEDYAJS-IFUCJSHLSA-N,当归
DG-012,洋川芎内酯 S,senkyunolide S,172723-28-3,C12H16O5,240.2550 ,,挥发油,CC[C@@H](O)/C=C1OC(C2=C\1CC[C@@H](O)[C@@H]2O)=O,"InChI=1S/C12H16O5/c1-2-6(13)5-9-7-3-4-8(14)11(15)10(7)12(16)17-9/h5-6,8,11,13-15H,2-4H2,1H3/b9-5-/t6-,8-,11+/m1/s1",XJGANEFDEDYAJS-IFUCJSHLSA-N,当归
DG-013,"E, Z'-6,6',7,3'a-二聚藁本内酯","E,Z'-6,6',7,3'a-diligustilide",/,C24H28O4,380.4840 ,,二萜类,O=C(O/1)C2=CC3CCC2(C4C3CCC5=C4C(O/C5=C/CCC)=O)C1=C\CCC,"InChI=1S/C24H28O4/c1-3-5-7-18-16-10-9-15-14-11-12-24(21(15)20(16)23(26)27-18)17(13-14)22(25)28-19(24)8-6-4-2/h7-8,13-15,21H,3-6,9-12H2,1-2H3/b18-7+,19-8-",UBBRXVRQZJSDAK-ASMCTYQMSA-N,当归
DG-014,"Z-3',8',3'a,7'a-四氢-6,3',7,7'a-二聚藁本内酯-8'-酮","Z-3',8',3'a,7'a-tetrahydro-6,3',7,7'a-diligustilide-8'-one",/,C24H28O5,396.4830 ,,挥发油,O=C1[C@]23C=CCC[C@]2([H])[C@](C(CCC)=O)(O1)[C@]4([H])[C@@]([H])3C(C(O/C5=C\CCC)=O)=C5CC4,"InChI=1S/C24H28O5/c1-3-5-9-16-14-11-12-15-20(19(14)21(26)28-16)23-13-7-6-10-17(23)24(15,29-22(23)27)18(25)8-4-2/h7,9,13,15,17,20H,3-6,8,10-12H2,1-2H3/b16-9-/t15-,17-,20+,23+,24+/m0/s1",IRKACHWWOSXIEC-DKQSQXLHSA-N,当归
DG-015,,"Z,Z'-3.3'a,7.7'a-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C(O/1)[C@]23[C@@]4(/C(O5)=C/CCC)[C@@](C=CCC4)(C5=O)[C@@]2(C1=C\CCC)CCC=C3,"InChI=1S/C24H28O4/c1-3-5-11-17-21-13-7-9-15-23(21,19(25)27-17)22-14-8-10-16-24(21,22)20(26)28-18(22)12-6-4-2/h9-12,15-16H,3-8,13-14H2,1-2H3/b17-11-,18-12-/t21-,22-,23+,24+",SQLBJXWSQGXJLZ-UVPYVICISA-N,当归
DG-016,,sinaspirolide,/,C24H26O4,378.4680 ,,挥发油,CCCC1C2([C@@]3(/C(OC4=O)=C/CCC)[C@]14C=CCC3)OC(C5=CC=CC=C52)=O,"InChI=1S/C24H26O4/c1-3-5-13-19-23-15-9-8-14-22(23,21(26)27-19)18(10-4-2)24(23)17-12-7-6-11-16(17)20(25)28-24/h6-8,11-14,18H,3-5,9-10,15H2,1-2H3/b19-13-/t18?,22-,23+,24?/m1/s1",GMWSMENUALPKGU-QQWLXNQDSA-N,当归
DG-017,,ansaspirolide,/,C24H26O4,378.4680 ,,单萜,O=C(C1=CC2[C@@H](CCC)[C@](OC3=O)(C4=C3C=CC=C4)C1/5CC2)OC5=C/CCC,"InChI=1S/C24H26O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6-7,9-11,14-15,17H,3-5,8,12-13H2,1-2H3/b20-11-/t15?,17-,23?,24+/m1/s1",KKXDPTDDMLHVAK-POLTTXONSA-N,当归
DG-018,,gelispirolide,/,C24H26O4,378.4680 ,,挥发油,O=C(OC12C(CCC)C3C2C4=C(/C(OC4=O)=C\CCC)CC3)C5=C1C=CC=C5,"InChI=1S/C24H26O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6-7,9-11,14,17,21H,3-5,8,12-13H2,1-2H3/b19-11+",CQHLGCXOPJLDBH-YBFXNURJSA-N,当归
DG-019,,neodiligustilide,/,C24H28O4,380.4840 ,,挥发油,O=C1O/C(C2(C1(C3CCC)C=CCC2)C43OC(C5=C4CCC=C5)=O)=C\CCC,"InChI=1S/C24H28O4/c1-3-5-13-19-23-15-9-8-14-22(23,21(26)27-19)18(10-4-2)24(23)17-12-7-6-11-16(17)20(25)28-24/h6,8,11,13-14,18H,3-5,7,9-10,12,15H2,1-2H3/b19-13-",IPPGXWCWNJRRDW-UYRXBGFRSA-N,当归
DG-020,当归双藁苯内酯A,"(3'Z)-(3R,8S,3a'S,6'R)-3,3a':8,6'-biligustilide",/,C24H28O4,380.4840 ,,单萜,O=C(O/1)C2=C[C@@H](CC3)[C@@](CCC)([H])C4(C(CCC=C5)=C5C(O4)=O)[C@]23C1=C\CCC,"InChI=1S/C24H28O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6,9,11,14-15,17H,3-5,7-8,10,12-13H2,1-2H3/b20-11-/t15-,17+,23+,24?/m1/s1",DZMFTLLDUYBHLI-KNWPLUTESA-N,当归
DG-021,"E,E'-3.3',8.8'-双藁苯内酯","E,E'-3.3',8.8'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C(O[C@@]12[C@@](OC3=O)(C4=C3C=CCC4)[C@](CCC)([H])C1([H])CCC)C5=C2CCC=C5,"InChI=1S/C24H28O4/c1-3-9-19-20(10-4-2)24(18-14-8-6-12-16(18)22(26)28-24)23(19)17-13-7-5-11-15(17)21(25)27-23/h5-6,11-12,19-20H,3-4,7-10,13-14H2,1-2H3/t19-,20?,23+,24+/m0/s1",LSDFCPDLBLFHAT-UYEHUZEKSA-N,当归
DG-022,当归双藁本内酯B,"E,E'-3.3',8.8'-isodiligustilide",/,C24H28O4,380.4840 ,,挥发油,CCC[C@@]1([H])[C@@]2(C3=C(C=CCC3)C(O2)=O)[C@](CCC)([H])[C@@]14C5=C(C(O4)=O)C=CCC5,"InChI=1S/C24H28O4/c1-3-9-19-23(17-13-7-5-11-15(17)21(25)27-23)20(10-4-2)24(19)18-14-8-6-12-16(18)22(26)28-24/h5-6,11-12,19-20H,3-4,7-10,13-14H2,1-2H3/t19-,20+,23-,24+",NBGKKTXKGJBVAL-GKIBHXGMSA-N,当归
DG-023,,"(3Z)-(3aR,6S,3'R,8'S)-3a.8',6.3'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C1C2=C([C@]3([C@@H]4C=C(C(O/C5=C\CCC)=O)[C@@]5(CC4)[C@]3([H])CCC)O1)CCC=C2,"InChI=1S/C24H28O4/c1-3-5-11-20-23-13-12-15(14-18(23)22(26)27-20)24(19(23)8-4-2)17-10-7-6-9-16(17)21(25)28-24/h6,9,11,14-15,19H,3-5,7-8,10,12-13H2,1-2H3/b20-11-/t15-,19-,23-,24-/m0/s1",WEQUVWKUIZCSNI-WVHQTLAJSA-N,当归
DG-024,,"3,3'Z-6.7',7.6'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C(O/C1=C\CCC)C2=C1CC[C@H]3[C@@H]2[C@H]4[C@@H]3C(C(O/C5=C\CCC)=O)=C5CC4,"InChI=1S/C24H28O4/c1-3-5-7-17-13-9-11-15-19(21(13)23(25)27-17)16-12-10-14-18(8-6-4-2)28-24(26)22(14)20(15)16/h7-8,15-16,19-20H,3-6,9-12H2,1-2H3/b17-7-,18-8-/t15-,16-,19+,20+",MRLJRMTXONGTIO-FTQNXUBBSA-N,当归
DG-025,,angesinenolides B,/,C25H32O7,444.5240 ,,挥发油,O=C(CCCC)[C@]1(CC2)C(C(OC)=O)=C[C@@H]2[C@@H](CCC)[C@]13[C@]45C(C(O3)=O)=C[C@@H](CC5)OO4,"InChI=1S/C25H32O7/c1-4-6-8-20(26)23-11-9-15(13-18(23)21(27)29-3)17(7-5-2)25(23)24-12-10-16(31-32-24)14-19(24)22(28)30-25/h13-17H,4-12H2,1-3H3/t15-,16-,17-,23+,24+,25-/m1/s1",BSDJHYDFQDPPGS-FFBAMOOKSA-N,当归
DG-026,,(−)/(+)tokinolide A(3a/3b),/,C24H28O4,380.4840 ,,挥发油,O=C1[C@]2(C=CCC3)[C@]3(/C(O1)=C/CCC)C4C2CCC(/C(O5)=C/CCC)=C4C5=O,"InChI=1S/C24H28O4/c1-3-5-9-17-15-11-12-16-20(19(15)21(25)27-17)24-14-8-7-13-23(16,24)22(26)28-18(24)10-6-4-2/h7,9-10,13,16,20H,3-6,8,11-12,14H2,1-2H3/b17-9-,18-10-/t16?,20?,23-,24-/m1/s1",UHSPLLCHEOVMGH-AHTCILLLSA-N,当归
DG-027,,(−)/(+)riligustilide(4a/4b),/,C24H28O4,380.4840 ,,挥发油,O=C1O[C@]2(C3=C1C=CCC3)C4C5=C(/C(OC5=O)=C/CCC)CCC4[C@@H]2CCC,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11-/t14?,17-,21?,24+/m0/s1",TYSOMZQRYGBSKN-DQILIGSYSA-N,当归
DG-028,,angesinenolides C,/,C24H28O4,380.4840 ,,挥发油,CCC/C=C1OC([C@@]23[C@]\1([C@@](CCC4=C5C(O/C4=C\CCC)=O)([H])[C@@]35[H])CCC=C2)=O,"InChI=1S/C24H28O4/c1-3-5-9-17-15-11-12-16-20(19(15)21(25)27-17)24-14-8-7-13-23(16,24)18(10-6-4-2)28-22(24)26/h8-10,14,16,20H,3-7,11-13H2,1-2H3/b17-9-,18-10-/t16-,20-,23+,24-/m1/s1",FFXFAMWUULIYHH-CHDDMMMWSA-N,当归
DG-029,,angesinenolides D,/,C23H28O4,368.4730 ,,挥发油,O=C1O/C([C@@]23[C@]1([C@@](CCC4=C5C(O/C4=C\C)=O)([H])[C@@]35[H])C=CCC2)=C/CCC.C,"InChI=1S/C22H24O4.CH4/c1-3-5-8-16-22-12-7-6-11-21(22,20(24)26-16)14-10-9-13-15(4-2)25-19(23)17(13)18(14)22;/h4,6,8,11,14,18H,3,5,7,9-10,12H2,1-2H3;1H4/b15-4-,16-8+;/t14-,18-,21+,22+;/m1./s1",ZSGORMFVZPZPQP-BMXCVCNBSA-N,当归
DG-030,,angesinenolides E,/,C24H24O4,376.4520 ,,挥发油,[H][C@@]1(CCC)[C@](CCC)([H])[C@@]2(C3=CC=CC=C3C(O2)=O)[C@]1(OC4=O)C5=C4C=CC=C5,"InChI=1S/C24H24O4/c1-3-9-19-20(10-4-2)24(18-14-8-6-12-16(18)22(26)28-24)23(19)17-13-7-5-11-15(17)21(25)27-23/h5-8,11-14,19-20H,3-4,9-10H2,1-2H3/t19-,20-,23+,24+/m1/s1",KFEAEBIYTNMHEJ-CHOVIJNXSA-N,当归
DG-031,,angesinenolides F,/,C24H26O4,378.4680 ,,挥发油,O=C(O/1)C2=C[C@@H]3[C@@H](CCC)[C@]4(OC(C5=C4C=CC=C5)=O)[C@]2(CC3)C1=C/CCC,"InChI=1S/C24H26O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6-7,9-11,14-15,17H,3-5,8,12-13H2,1-2H3/b20-11+/t15-,17-,23+,24-/m1/s1",KKXDPTDDMLHVAK-QJGONNSFSA-N,当归
DG-032,,(−)/(+)diangeliphthalide A(5a/5b),/,C24H26O4,378.4680 ,,挥发油,CCC[C@@H]1[C@]2([C@@]3([C@H]1CCC)C4=C(C=CCC4)C(O3)=O)C5=CC=CC=C5C(O2)=O,"InChI=1S/C24H26O4/c1-3-9-19-20(10-4-2)24(18-14-8-6-12-16(18)22(26)28-24)23(19)17-13-7-5-11-15(17)21(25)27-23/h5-7,11-13,19-20H,3-4,8-10,14H2,1-2H3/t19-,20-,23-,24-/m0/s1",CFNNDQPGDFBSEW-TZYAJKAJSA-N,当归
DG-033,,(−)/(+)gelispirolide(6a/6b),/,C26H30O4,406.5220 ,,挥发油,CCC/C=C(OC1=O)/C2=C1[C@@]([C@]34C5=CC=CC=C5C(O3)=O)(C)[C@](C)([C@H]4CCC)CC2,"InChI=1S/C26H30O4/c1-5-7-13-19-17-14-15-24(3)20(10-6-2)26(25(24,4)21(17)23(28)29-19)18-12-9-8-11-16(18)22(27)30-26/h8-9,11-13,20H,5-7,10,14-15H2,1-4H3/b19-13-/t20-,24+,25+,26-/m1/s1",PWIZKAVYTZECOA-NIQSBQJHSA-N,当归
DG-034,,"3E,3'E-6.6',7.3'a-diligustilide",/,C24H28O4,380.4840 ,,单萜,CCC/C=C1OC(C2=C/1CC[C@]3([H])[C@@]2([H])[C@]45C(C(O/C5=C/CCC)=O)=C[C@H]3CC4)=O,"InChI=1S/C24H28O4/c1-3-5-7-18-16-10-9-15-14-11-12-24(21(15)20(16)23(26)27-18)17(13-14)22(25)28-19(24)8-6-4-2/h7-8,13-15,21H,3-6,9-12H2,1-2H3/b18-7+,19-8+/t14-,15+,21-,24+/m1/s1",UBBRXVRQZJSDAK-XOAWRVBSSA-N,当归
DG-035,,"3Z-6R,7S,3'R,8'R-6.8',7.3'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,CCC/C=C1OC(C2=C\1CC[C@@]3([H])[C@]2([H])[C@](C4=C5C=CCC4)(OC5=O)[C@]3([H])CCC)=O,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11-/t14-,17-,21+,24+/m1/s1",TYSOMZQRYGBSKN-ZGQZQFGGSA-N,当归
DG-036,,"3Z,3'E-6.6',7.3'a-diligustilide",/,C24H28O4,380.4840 ,,挥发油,CCC/C=C1OC(C2=C\1CC[C@]3([H])[C@@]2([H])[C@]45C(C(O/C5=C/CCC)=O)=C[C@H]3CC4)=O,"InChI=1S/C24H28O4/c1-3-5-7-18-16-10-9-15-14-11-12-24(21(15)20(16)23(26)27-18)17(13-14)22(25)28-19(24)8-6-4-2/h7-8,13-15,21H,3-6,9-12H2,1-2H3/b18-7-,19-8+/t14-,15+,21-,24+/m1/s1",UBBRXVRQZJSDAK-PHGZUJCWSA-N,当归
DG-037,,"3Z-6S,7R,3'S,8'R-6.8',7.3'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C1O[C@]2(C3=C1C=CCC3)[C@](C(C(O/C4=C\CCC)=O)=C4CC5)([H])[C@]5([H])[C@@]2([H])CCC,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11-/t14-,17+,21+,24+/m0/s1",TYSOMZQRYGBSKN-PCUWJHKLSA-N,当归
DG-038,,"3E-6R,7S,3'S,8'R-6.8',7.3'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C1O[C@]2(C3=C1C=CCC3)[C@@](C(C(O/C4=C/CCC)=O)=C4CC5)([H])[C@@]5([H])[C@@]2([H])CCC,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11+/t14-,17-,21+,24-/m1/s1",TYSOMZQRYGBSKN-GXBSSPNXSA-N,当归
DG-039,,tokinolide C,/,C24H28O4,380.4840 ,,挥发油,O=C1[C@@]2(C=CCC3)C4C5=C(/C(OC5=O)=C/CCC)CCC4[C@@]23/C(O1)=C/CCC,"InChI=1S/C24H28O4/c1-3-5-9-17-15-11-12-16-20(19(15)21(25)27-17)24-14-8-7-13-23(16,24)18(10-6-4-2)28-22(24)26/h8-10,14,16,20H,3-7,11-13H2,1-2H3/b17-9-,18-10-/t16?,20?,23-,24+/m0/s1",FFXFAMWUULIYHH-AYSZRISNSA-N,当归
DG-040,,angesinenolides A,/,C36H42O6,570.7260 ,,挥发油,O=C(O/C1=C\CCC)C2=C1CC[C@@]3([H])[C@]2([H])[C@@]([C@@]3([H])CC4)([H])C5=C4[C@@]6(OC5=O)[C@H](CCC)[C@@H](CCC)[C@]67C8=C(C(O7)=O)C=CCC8,"InChI=1S/C36H42O6/c1-4-7-14-27-22-16-15-19-20-17-18-26-31(29(20)28(19)30(22)33(38)40-27)34(39)42-36(26)25(11-6-3)24(10-5-2)35(36)23-13-9-8-12-21(23)32(37)41-35/h8,12,14,19-20,24-25,28-29H,4-7,9-11,13,15-18H2,1-3H3/b27-14-/t19-,20+,24-,25-,28-,29+,35-,36+/m1/s1",LCFSNWRFLLDWMT-SUOPZBGLSA-N,当归
DG-041,,(−)/(+)triligustilides A(1a/1b),/,C38H46O6,598.7800 ,,挥发油,CCC/C=C1[C@]2(C3C4CCC([C@]56[C@@H](CCC)[C@@]7(C)[C@]5(C)C8=C(/C(OC8=O)=C/CCC)CC7)=C3C(O6)=O)[C@]4(C(O/1)=O)C=CCC2,"InChI=1S/C38H46O6/c1-6-9-14-25-22-18-21-34(4)26(13-8-3)38(35(34,5)29(22)32(40)42-25)23-16-17-24-30(28(23)31(39)44-38)37-20-12-11-19-36(24,37)33(41)43-27(37)15-10-7-2/h11,14-15,19,24,26,30H,6-10,12-13,16-18,20-21H2,1-5H3/b25-14-,27-15-/t24?,26-,30?,34-,35-,36+,37+,38-/m0/s1",ZUGLGKGYHJWBOQ-FPYCPFNWSA-N,当归
DG-042,,(−)/(+) triligustilides B(2a/2b),/,C36H42O6,570.7260 ,,挥发油,CCC/C=C1[C@]2(C3C4CCC([C@]56[C@@H](CCC)C7C5C8=C(/C(OC8=O)=C/CCC)CC7)=C3C(O6)=O)[C@]4(C(O/1)=O)C=CCC2,"InChI=1S/C36H42O6/c1-4-7-12-25-21-15-14-20-22(11-6-3)36(29(20)27(21)31(37)40-25)23-16-17-24-30(28(23)32(38)42-36)35-19-10-9-18-34(24,35)33(39)41-26(35)13-8-5-2/h9,12-13,18,20,22,24,29-30H,4-8,10-11,14-17,19H2,1-3H3/b25-12-,26-13-/t20?,22-,24?,29?,30?,34+,35+,36+/m0/s1",KQFNVPIEXFEMFU-JMWIMQNKSA-N,当归
