Number,compounds（英文）,compounds,Molecular formula,Molecular weight,CAS No.,结构式,,smiles,inchi,inchikey,药物名称
ADC-001,Benzoquinone,苯醌,C6H4O2,108.10 ,106-51-4,,蒽醌,O=C(C=C1)C=CC1=O,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,AZQWKYJCGOJGHM-UHFFFAOYSA-N,矮地茶
ADC-002,Fumaric acid,"富马酸,反丁烯二酸",C4H4O4,116.07 ,110-17-8,,脂肪酸,O=C(/C=C/C(O)=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,矮地茶
ADC-003,Succinic acid,琥珀酸； 丁二酸,C4H6O4,118.09 ,110-15-6,,脂肪酸,OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,矮地茶
ADC-004,4-Hydroxybenzylalcohol,对羟基苯甲醇,C7H8O2,124.14 ,623-05-2,,其他,OC1=CC=C(CO)C=C1,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",BVJSUAQZOZWCKN-UHFFFAOYSA-N,矮地茶
ADC-005,Pyrogallol,邻苯三酚,C6H6O3,126.11 ,87-66-1,,酚酸,OC1=CC=CC(O)=C1O,"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H",WQGWDDDVZFFDIG-UHFFFAOYSA-N,矮地茶
ADC-006,DL-Malic acid,DL-苹果酸,C4H6O5,134.09 ,6915-15-7,,脂肪酸,OC(CC(O)C(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,矮地茶
ADC-007,Phenylacetone,苯基丙酮,C9H10O,134.18 ,103-79-7,,其他,CC(CC1=CC=CC=C1)=O,"InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",QCCDLTOVEPVEJK-UHFFFAOYSA-N,矮地茶
ADC-008,L-Threonic acid,,C4H8O5,136.10 ,7306-96-9,,脂肪酸,O[C@H]([C@H](CO)O)C(O)=O,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1",JPIJQSOTBSSVTP-STHAYSLISA-N,矮地茶
ADC-009,Salicylic acid,水杨酸,C7H6O3,138.12 ,69-72-7,,酚酸,OC1=CC=CC=C1C(O)=O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,矮地茶
ADC-010,(+)-carvone,(S)-(+)-香芹酮,C10H14O,150.22 ,2244-16-8,,萜类,CC1=CC[C@H](C(C)=C)CC1=O,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m0/s1",ULDHMXUKGWMISQ-VIFPVBQESA-N,矮地茶
ADC-011,Carvacrol,香芹酚,C10H14O,150.22 ,499-75-2,,萜类,CC(C1=CC=C(C)C(O)=C1)C,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3",RECUKUPTGUEGMW-UHFFFAOYSA-N,矮地茶
ADC-012,methyl salicylate,水杨酸甲酯,C8H8O3,152.15 ,119-36-8,,其他,OC1=CC=CC=C1C(OC)=O,"InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3",OSWPMRLSEDHDFF-UHFFFAOYSA-N,矮地茶
ADC-013,(-)-4-Terpineol,4-萜烯醇,C10H18O,154.25 ,562-74-3,,萜类,CC1=CCC(C(C)C)(O)CC1,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",WRYLYDPHFGVWKC-UHFFFAOYSA-N,矮地茶
ADC-014,(+)-borneol,(+)-冰片,C10H18O,154.25 ,464-43-7,,萜类,C[C@]12CC[C@@H](C2(C)C)C[C@@H]1O,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3/t7-,8+,10+/m1/s1",DTGKSKDOIYIVQL-WEDXCCLWSA-N,矮地茶
ADC-015,Umbelliferone,伞形花内酯； 7-羟基香豆素,C9H6O3,162.14 ,93-35-6,,香豆素,OC1=CC(OC2=O)=C(C=C2)C=C1,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N,矮地茶
ADC-016,Isoeugenol,异丁香酚,C10H12O2,164.20 ,97-54-1,,苯丙素,OC1=CC=C(/C=C/C)C=C1OC,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3/b4-3+",BJIOGJUNALELMI-ONEGZZNKSA-N,矮地茶
ADC-017,Paeonol,丹皮酚,C9H10O3,166.17 ,552-41-0,,苯丙素,OC1=CC(OC)=CC=C1C(C)=O,"InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3",UILPJVPSNHJFIK-UHFFFAOYSA-N,矮地茶
ADC-018,Gallic acid,"没食子酸; 3,4,5-三羟基苯甲酸",C7H6O5,170.12 ,149-91-7,,酚酸,O=C(C1=CC(O)=C(O)C(O)=C1)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,矮地茶
ADC-019,trans-caffeic acid,"3,4-二羟基肉桂酸",C9H8O4,180.16 ,501-16-6,,酚酸,O=C(O)/C=C/C1=CC(O)=C(O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,矮地茶
ADC-020,Veratric acid,藜芦酸,C9H10O4,182.17 ,93-07-2,,酚酸,COC1=CC=C(C(O)=O)C=C1OC,"InChI=1S/C9H10O4/c1-12-7-4-3-6(9(10)11)5-8(7)13-2/h3-5H,1-2H3,(H,10,11)",DAUAQNGYDSHRET-UHFFFAOYSA-N,矮地茶
ADC-021,Azelaic acid,壬二酸,C9H16O4,188.22 ,123-99-9,,脂肪酸,O=C(O)CCCCCCCC(O)=O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,矮地茶
ADC-022,Citric acid,柠檬酸,C6H8O7,192.12 ,77-92-9,,酚酸,OC(CC(CC(O)=O)(O)C(O)=O)=O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,矮地茶
ADC-023,"5,7-Dihydroxy-4-methylcoumarin","5,7-二羟基-4-甲基香豆素",C10H8O4,192.17 ,2107-76-8,,香豆素,O=C1C=C(C)C2=C(O)C=C(O)C=C2O1,"InChI=1S/C10H8O4/c1-5-2-9(13)14-8-4-6(11)3-7(12)10(5)8/h2-4,11-12H,1H3",QNVWGEJMXOQQPM-UHFFFAOYSA-N,矮地茶
ADC-024,Scopoletin,东莨菪内酯,C10H8O4,192.17 ,92-61-5,,香豆素,COC1=CC(C=CC2=O)=C(O2)C=C1O,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,矮地茶
ADC-025,"3,4-dihydroxyphenylpyruvic acid","3,4-二羟基苯基丙酮酸",C9H8O5,196.16 ,4228-66-4,,酚酸,O=C(C(O)=O)CC1=CC(O)=C(O)C=C1,"InChI=1S/C9H8O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,10-11H,4H2,(H,13,14)",LQQFFJFGLSKYIR-UHFFFAOYSA-N,矮地茶
ADC-026,"3,4,5-Trimethoxybenzaldehyde","3,4,5-三甲氧基苯甲醛",C10H12O4,196.20 ,86-81-7,,其他,O=C(C(O)=O)CC1=CC(O)=C(O)C=C1,"InChI=1S/C9H8O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,10-11H,4H2,(H,13,14)",LQQFFJFGLSKYIR-UHFFFAOYSA-N,矮地茶
ADC-027,Ethyl  gallate,没食子酸乙酯,C9H10O5,198.17 ,831-61-8,,脂肪酸,OC1=C(O)C(O)=CC(C(OCC)=O)=C1,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,矮地茶
ADC-028,guaiazulene,愈创奥,C15H18,198.30 ,489-84-9,,萜类,CC(C=CC(C(C)C)=C1)=C2C1=C(C)C=C2,"InChI=1S/C15H18/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h5-10H,1-4H3",FWKQNCXZGNBPFD-UHFFFAOYSA-N,矮地茶
ADC-029,α-calacorene,,C15H20,200.32 ,77129-50-1,,萜类,CC(C1CC=C(C)C2=C1C=C(C)C=C2)C,"InChI=1S/C15H20/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h5-7,9-10,13H,8H2,1-4H3",CUUMXRBKJIDIAY-UHFFFAOYSA-N,矮地茶
ADC-030,3-tert-Butyladipic acid,3-叔丁基己二酸,C10H18O4,202.25 ,10347-88-3,,脂肪酸,OC(CC(CCC(O)=O)C(C)(C)C)=O,"InChI=1S/C10H18O4/c1-10(2,3)7(6-9(13)14)4-5-8(11)12/h7H,4-6H2,1-3H3,(H,11,12)(H,13,14)",LHSCNQRBIIDZCB-UHFFFAOYSA-N,矮地茶
ADC-031,(Z)-calamenene,,C15H22,202.34 ,72937-55-4,,萜类,CC([C@@H]1CC[C@H](C)C2=C1C=C(C)C=C2)C,"InChI=1S/C15H22/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h5,7,9-10,12-13H,6,8H2,1-4H3/t12-,13-/m0/s1",PGTJIOWQJWHTJJ-STQMWFEESA-N,矮地茶
ADC-032,3-Acetyl-7-hydroxy-chromen-2-one,3-乙酰基-7-羟基-苯并吡喃-2-酮,C11H8O4,204.18 ,10441-27-7,,香豆素,OC(C=C1O2)=CC=C1C=C(C(C)=O)C2=O,"InChI=1S/C11H8O4/c1-6(12)9-4-7-2-3-8(13)5-10(7)15-11(9)14/h2-5,13H,1H3",BRQZHMHHZLRXOO-UHFFFAOYSA-N,矮地茶
ADC-033,Maraniol,7-乙氧基-4-甲基香豆素,C12H12O3,204.22 , 87-05-8,,香豆素,CC(C(C=C1)=C(O2)C=C1OCC)=CC2=O,"InChI=1S/C12H12O3/c1-3-14-9-4-5-10-8(2)6-12(13)15-11(10)7-9/h4-7H,3H2,1-2H3",NKRISXMDKXBVRJ-UHFFFAOYSA-N,矮地茶
ADC-034,(-)-Isocaryophyllene,(-)-异丁香烯,C15H24,204.35 ,118-65-0,,萜类,CC1([C@@](CC/C(C)=C\CCC2=C)([H])[C@]2([H])C1)C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6-/t13-,14-/m1/s1",NPNUFJAVOOONJE-FLFDDASRSA-N,矮地茶
ADC-035,(-)-α-longipinene,(+)-α-长叶蒎烯,C15H24,204.35 , 5989-08-2,,萜类,C[C@]1(CCC2)[C@@]3([H])C(C)=CC[C@]1([H])[C@@]([H])3C2(C)C,"InChI=1S/C15H24/c1-10-6-7-11-13-12(10)15(11,4)9-5-8-14(13,2)3/h6,11-13H,5,7-9H2,1-4H3/t11-,12+,13+,15-/m1/s1",HICYDYJTCDBHMZ-UKTARXLSSA-N,矮地茶
ADC-036,(-)-β-cadinene,,C15H24,204.35 ,523-47-7,,萜类,CC([C@H]1[C@@](CC(C)=CC2)([H])[C@]2([H])C(C)=CC1)C,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h5-6,10,13-15H,7-9H2,1-4H3/t13-,14-,15-/m0/s1",USDOQCCMRDNVAH-KKUMJFAQSA-N,矮地茶
ADC-037,(+)-AROMADENDRENE,,C15H24,204.35 ,72747-25-2,,萜类,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@@H](CCC2=C)C3(C)C,"InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h10-14H,1,5-8H2,2-4H3/t10-,11+,12-,13-,14-/m1/s1",ITYNGVSTWVVPIC-XVIXHAIJSA-N,矮地茶
ADC-038,"(E, Z)-alpha-farnesene",,C15H24,204.35 ,28973-98-0,,萜类,C/C(C)=C\CC/C(C)=C\C/C=C(C=C)\C,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12-",CXENHBSYCFFKJS-DZKMRSEMSA-N,矮地茶
ADC-039,(S)-β-bisabolene,,C15H24,204.35 ,495-61-4,,萜类,CC1=CC[C@@H](C(CC/C=C(C)\C)=C)CC1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,15H,4-5,7,9-11H2,1-3H3/t15-/m1/s1",XZRVRYFILCSYSP-OAHLLOKOSA-N,矮地茶
ADC-040,"10,10-Dimethyl-2,6-dimethylenebicyclo[7.2.0]undecane",,C15H24,204.35 ,136296-38-3,,萜类,CC1(C)CC2C1CCC(CCCC2=C)=C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h13-14H,1-2,5-10H2,3-4H3",PMMLIVYPEUJENN-UHFFFAOYSA-N,矮地茶
ADC-041,Alpha-Cubebene,(-)-Alpha-荜澄茄油烯,C15H24,204.35 ,17699-14-8,,萜类,[H][C@]12[C@@]3([C@H](C)CC[C@H]2C(C)C)CC=C(C)[C@@H]31,"InChI=1S/C15H24/c1-9(2)12-6-5-11(4)15-8-7-10(3)13(15)14(12)15/h7,9,11-14H,5-6,8H2,1-4H3/t11-,12+,13-,14-,15-/m1/s1",XUEHVOLRMXNRKQ-XLWJZTARSA-N,矮地茶
ADC-042,a-Ylangene,,C15H24,204.35 ,14912-44-8,,萜类,CC([C@H]1[C@]2([H])[C@@]3([H])CC=C(C)[C@]2([H])[C@@]3(C)CC1)C,"InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)14(15)13(11)12/h5,9,11-14H,6-8H2,1-4H3/t11-,12+,13+,14-,15-/m0/s1",VLXDPFLIRFYIME-QRTUWBSPSA-N,矮地茶
ADC-043,Humulene,α-石竹烯,C15H24,204.35 ,6753-98-6,,萜类,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+",FAMPSKZZVDUYOS-HRGUGZIWSA-N,矮地茶
ADC-044,"(4R)-4-[(1E,3R)-3-Hydroxy-1-buten-1-yl]-3,5,5-trimethyl-2-cyclohexen-1-one","(6R,7E,9R)-9-羟基-4,7-巨豆二烯-3-酮",C13H20O2,208.00 ,52210-15-8,,萜类,O=C1C=C(C)[C@H](/C=C/[C@H](O)C)C(C)(C)C1,"InChI=1S/C13H20O2/c1-9-7-11(15)8-13(3,4)12(9)6-5-10(2)14/h5-7,10,12,14H,8H2,1-4H3/b6-5+/t10-,12+/m1/s1",MDCGEAGEQVMWPE-SXGMEYSMSA-N,矮地茶
ADC-045,Fraxetin,秦皮素,C10H8O5,208.17 ,574-84-5,,香豆素,OC(C(OC1=O)=C(C=C1)C=C2OC)=C2O,"InChI=1S/C10H8O5/c1-14-6-4-5-2-3-7(11)15-10(5)9(13)8(6)12/h2-4,12-13H,1H3",HAVWRBANWNTOJX-UHFFFAOYSA-N,矮地茶
ADC-046,Asarone,α-细辛脑,C12H16O3,208.25 ,2883-98-9,,萜类,COC1=C(C=C(OC)C(OC)=C1)/C=C/C,"InChI=1S/C12H16O3/c1-5-6-9-7-11(14-3)12(15-4)8-10(9)13-2/h5-8H,1-4H3/b6-5+",RKFAZBXYICVSKP-AATRIKPKSA-N,矮地茶
ADC-047,5-Heptylresorcinol,"5-庚基苯-1,3-二醇",C13H20O2,208.30 ,500-67-4,,萜类,CCCCCCCC1=CC(O)=CC(O)=C1,"InChI=1S/C13H20O2/c1-2-3-4-5-6-7-11-8-12(14)10-13(15)9-11/h8-10,14-15H,2-7H2,1H3",QENPJKGENOZEEJ-UHFFFAOYSA-N,矮地茶
ADC-048,Ethyl 3-coumarincarboxylate,香豆素-3-羧酸乙酯,C12H10O4,218.21 ,1846-76-0,,香豆素,O=C(C(C(O1)=O)=CC2=C1C=CC=C2)OCC,"InChI=1S/C12H10O4/c1-2-15-11(13)9-7-8-5-3-4-6-10(8)16-12(9)14/h3-7H,2H2,1H3",XKHPEMKBJGUYCM-UHFFFAOYSA-N,矮地茶
ADC-049,(7-Hydroxy-2-oxo-2H-chromen-3-yl) acetic acid,2-(7-羟基-2-氧代-2H-色烯-3-基)乙酸,C11H8O5,220.18 ,104093-04-1,,香豆素,O=C(O)CC(C1=O)=CC2=C(O1)C=C(O)C=C2,"InChI=1S/C11H8O5/c12-8-2-1-6-3-7(4-10(13)14)11(15)16-9(6)5-8/h1-3,5,12H,4H2,(H,13,14)",UYEOESMZNPTWBZ-UHFFFAOYSA-N,矮地茶
ADC-050,Butylated hydroxytoluene,抗氧剂BHT,C15H24O,220.35 ,128-37-0,,其他,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,"InChI=1S/C15H24O/c1-10-8-11(14(2,3)4)13(16)12(9-10)15(5,6)7/h8-9,16H,1-7H3",,矮地茶
ADC-051,Caryophyllene oxide,石竹素,C15H24O,220.35 ,1139-30-6,,萜类,C=C1CCC2O[C@@](C)2CC[C@]3([H])[C@]1([H])CC3(C)C,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13?,15-/m1/s1",NVEQFIOZRFFVFW-CZPDGURSSA-N,矮地茶
ADC-052,Sinapinic acid,芥子酸,C11H12O5,224.21 ,530-59-6,,酚酸,OC1=C(OC)C=C(C=CC(O)=O)C=C1OC,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)",PCMORTLOPMLEFB-UHFFFAOYSA-N,矮地茶
ADC-053,Blumenol A,吐叶醇,C13H20O2,224.30 ,23526-45-6,,其他,CC1(C)CC(C=C(C)[C@]1(O)/C=C/[C@H](O)C)=O,"InChI=1S/C13H20O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,10,14,16H,8H2,1-4H3/b6-5+/t10-,13-/m1/s1",KPQMCAKZRXOZLB-KOIHBYQTSA-N,矮地茶
ADC-054,2-Hydroxybenzyl benzoate,,C14H12O3,228.24 ,30923-59-2,,其他,O=C(OCC1=CC=CC=C1O)C2=CC=CC=C2,"InChI=1S/C14H12O3/c15-13-9-5-4-8-12(13)10-17-14(16)11-6-2-1-3-7-11/h1-9,15H,10H2",FYLCFQWGCDFKDT-WUXMJOGZSA-N,矮地茶
ADC-055,Myristic acid,肉豆蔻酸,C14H28O2,228.37 ,544-63-8,,脂肪酸,O=C(O)CCCCCCCCCCCCC,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",TUNFSRHWOTWDNC-UHFFFAOYSA-N,矮地茶
ADC-056,Dodecanedioic acid,十二烷二酸,C12H22O4,230.30 ,693-23-2,,脂肪酸,OC(CCCCCCCCCCC(O)=O)=O,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)",TVIDDXQYHWJXFK-UHFFFAOYSA-N,矮地茶
ADC-057,"(3E)-3-(1,3-Benzodioxol-5-ylmethylene)-2,4(3H,5H)-furandione",,C12H8O5,232.19 ,87191-93-3,,其他,O=C(/C1=C([H])\C2=CC3=C(OCO3)C=C2)COC1=O,"InChI=1S/C12H8O5/c13-9-5-15-12(14)8(9)3-7-1-2-10-11(4-7)17-6-16-10/h1-4H,5-6H2/b8-3+",WMDLMQGCPDNRAX-FPYGCLRLSA-N,矮地茶
ADC-058,"Ethyl 3-(1,3-benzodioxol-5-yl)-3-oxopropanoate",3-(6-胡椒环基)-3-氧代丙酸乙酯,C12H12O5,236.22 ,81581-27-3,,其他,O=C(OCC)CC(C1=CC=C(OCO2)C2=C1)=O,"InChI=1S/C12H12O5/c1-2-15-12(14)6-9(13)8-3-4-10-11(5-8)17-7-16-10/h3-5H,2,6-7H2,1H3",UGSBCTHYWAADNY-UHFFFAOYSA-N,矮地茶
