编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-001,山奈酚-3-O-阿拉伯糖苷,Kaempferol-3-O-arabinoside,5041-67-8,418.3540,C20H18O10,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](CO)O4,"InChI=1S/C20H18O10/c21-7-13-15(25)17(27)20(29-13)30-19-16(26)14-11(24)5-10(23)6-12(14)28-18(19)8-1-3-9(22)4-2-8/h1-6,13,15,17,20-25,27H,7H2/t13-,15-,17+,20-/m0/s1",POQICXMTUPVZMX-UXYNSRGZSA-N,赶黄草
PECH-002,槲皮素,Quercetin,117-39-5,302.2380,C15H10O7,,黄酮,OC(C(O)=C1)=CC=C1C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,赶黄草
PECH-003,槲皮素-3-O-阿拉伯糖苷,Avicularin,572-30-5,434.3530,C20H18O11,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](CO)O4,"InChI=1S/C20H18O11/c21-6-13-15(26)17(28)20(30-13)31-19-16(27)14-11(25)4-8(22)5-12(14)29-18(19)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,20-26,28H,6H2/t13-,15-,17+,20-/m0/s1",BDCDNTVZSILEOY-UXYNSRGZSA-N,赶黄草
PECH-004,槲皮素-3-O-α-L-鼠李糖苷,Quercitrin,522-12-3,448.3800,C21H20O11,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,赶黄草
PECH-005,"3-Phenyl-1-(2′,6′-dihydroxyphenyl-4′-O-β-D-glucopyranosyl)-1-propanone","3-Phenyl-1-(2′,6′-dihydroxyphenyl-4′-O-β-D-glucopyranosyl)-1-propanone",73519-16-1,420.4140,C21H24O9,,黄酮,OC1=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=CC(O)=C1C(CCC3=CC=CC=C3)=O,"InChI=1S/C21H24O9/c22-10-16-18(26)19(27)20(28)21(30-16)29-12-8-14(24)17(15(25)9-12)13(23)7-6-11-4-2-1-3-5-11/h1-5,8-9,16,18-22,24-28H,6-7,10H2/t16-,18-,19+,20-,21-/m1/s1",PDEJQNUGODFPTR-QNDFHXLGSA-N,赶黄草
PECH-006,"2′,6′-Dihydroxydihydro-chalcone-4′-O-[3′′-O-galloyl]-β-D-glucopyranoside","2′,6′-Dihydroxydihydro-chalcone-4′-O-[3′′-O-galloyl]-β-D-glucopyranoside",1885097-49-3,572.5190,C28H28O13,,黄酮,OC1=CC(OC2[C@@H](O)[C@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)C(O)[C@@H](CO)O2)=CC(O)=C1C(CCC4=CC=CC=C4)=O,"InChI=1S/C28H28O13/c29-12-21-24(36)26(41-27(38)14-8-19(33)23(35)20(34)9-14)25(37)28(40-21)39-15-10-17(31)22(18(32)11-15)16(30)7-6-13-4-2-1-3-5-13/h1-5,8-11,21,24-26,28-29,31-37H,6-7,12H2/t21-,24?,25+,26-,28?/m1/s1",CEPQQERKIVVLGP-QUOSWKDLSA-N,赶黄草
PECH-007,6′-羟基-2′-甲氧基二氢查耳酮-4′-O-β-D-吡喃葡 萄糖苷,6'-hydroxy-2'-methoxy-dihydrochalcone-4'-β-D-glucopyranoside,/,434.4410,C22H26O9,,黄酮,O=C(CCC1=CC=CC=C1)C2=C(OC)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2O,"InChI=1S/C22H26O9/c1-29-16-10-13(30-22-21(28)20(27)19(26)17(11-23)31-22)9-15(25)18(16)14(24)8-7-12-5-3-2-4-6-12/h2-6,9-10,17,19-23,25-28H,7-8,11H2,1H3/t17-,19-,20+,21-,22-/m1/s1",OKUDOZQZDZDXJA-MIUGBVLSSA-N,赶黄草
PECH-008,4-O-β-D-Glucopyranosyl-6-hydroxy-2-methoxychalcone,4-O-β-D-Glucopyranosyl-6-hydroxy-2-methoxychalcone,1375457-41-2,432.4250,C22H24O9,,黄酮,OC1=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=CC(OC)=C1C(/C=C/C3=CC=CC=C3)=O,"InChI=1S/C22H24O9/c1-29-16-10-13(30-22-21(28)20(27)19(26)17(11-23)31-22)9-15(25)18(16)14(24)8-7-12-5-3-2-4-6-12/h2-10,17,19-23,25-28H,11H2,1H3/b8-7+/t17-,19-,20+,21-,22-/m1/s1",BOZCHAAEPGTZKL-XBYYYFBSSA-N,赶黄草
PECH-009,(2S)-乔松素,(+)-Pinocembrin,480-39-7,256.2570,C15H12O4,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)C1,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2",URFCJEUYXNAHFI-UHFFFAOYSA-N,赶黄草
PECH-010,(2R/2S)-乔松素-7-O-β-D-葡萄糖苷,Pinocembrin-7-O-β-D-glucopyranoside,75829-43-5,418.3980,C21H22O9,,黄酮,O=C1C2=C(O)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2OC(C4=CC=CC=C4)C1,"InChI=1S/C21H22O9/c22-9-16-18(25)19(26)20(27)21(30-16)28-11-6-12(23)17-13(24)8-14(29-15(17)7-11)10-4-2-1-3-5-10/h1-7,14,16,18-23,25-27H,8-9H2/t14?,16-,18-,19+,20-,21-/m1/s1",GPGFGFUBECSNTG-RGHIGTIISA-N,赶黄草
PECH-011,Penthorumside A,Penthorumside A,2379667-92-0,570.5030,C28H26O13,,黄酮,OC1=C(C(C[C@@H](O2)C3=CC=CC=C3)=O)C2=CC(OC4[C@@H](O)[C@H](OC(C5=CC(O)=C(O)C(O)=C5)=O)C(O)[C@@H](CO)O4)=C1,"InChI=1S/C28H26O13/c29-11-21-24(35)26(41-27(37)13-6-17(32)23(34)18(33)7-13)25(36)28(40-21)38-14-8-15(30)22-16(31)10-19(39-20(22)9-14)12-4-2-1-3-5-12/h1-9,19,21,24-26,28-30,32-36H,10-11H2/t19-,21-,24?,25+,26-,28?/m1/s1",UYYHAWXQHKSXSJ-XOLPKNDSSA-N,赶黄草
PECH-012,(2R/2S)-山姜素-7-O-β-D-吡喃葡萄糖苷,(2R/2S)-alpinetin-7-O-β-D-glucopyranoside,1450878-89-3,432.4250,C22H24O9,,黄酮,O=C1C2=C(OC)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2OC(C4=CC=CC=C4)C1,"InChI=1S/C22H24O9/c1-28-15-7-12(29-22-21(27)20(26)19(25)17(10-23)31-22)8-16-18(15)13(24)9-14(30-16)11-5-3-2-4-6-11/h2-8,14,17,19-23,25-27H,9-10H2,1H3/t14?,17-,19-,20+,21-,22-/m1/s1",RRNVUIVTKIOLBO-WVJHHYEUSA-N,赶黄草
PECH-013,(2R)-柚皮素,Naringenin,480-41-1,272.0684,C15H12O5,,黄酮,O=C1CC(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",FTVWIRXFELQLPI-UHFFFAOYSA-N,赶黄草
PECH-014,(2R/2S)-Naringenin-7-O-β-D-glucoside,(2R/2S)-Naringenin-7-O-β-D-glucoside,221362-75-0,434.3970,C21H22O10,,黄酮,O=C1C2=C(O)C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2OC(C4=CC=C(O)C=C4)C1,"InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2/t14?,16-,18-,19+,20-,21-/m1/s1",DLIKSSGEMUFQOK-RGHIGTIISA-N,赶黄草
PECH-015,(2S/2R)-圣草酚,Eriodictyol,552-58-9,288.2550,C15H12O6,,黄酮,O=C1CC(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2",SBHXYTNGIZCORC-UHFFFAOYSA-N,赶黄草
PECH-016,"Pinocembrin-7-O-[4′′,6′′-(S)-hexahydroxydiphenoyl]-β-D-glucose","Pinocembrin-7-O-[4′′,6′′-(S)-hexahydroxydiphenoyl]-β-D-glucose",1825287-22-6,720.5920,C35H28O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=C(C(CC(C3=CC=CC=C3)O4)=O)C4=C2)O[C@@H]1COC5=O)C6=CC(O)=C(O)C(O)=C6C7=C5C=C(O)C(O)=C7O,"InChI=1S/C35H28O17/c36-16-6-13(7-21-25(16)17(37)10-20(50-21)12-4-2-1-3-5-12)49-35-31(45)30(44)32-22(51-35)11-48-33(46)14-8-18(38)26(40)28(42)23(14)24-15(34(47)52-32)9-19(39)27(41)29(24)43/h1-9,20,22,30-32,35-36,38-45H,10-11H2/t20?,22-,30-,31+,32?,35-/m1/s1",SHBQSNYBINOTIL-UMAACULISA-N,赶黄草
PECH-017,"Pinocembrin 7-O-[3′′-O-galloyl-4′′,6′′-(S)-hexahydroxydiphenoyl]-β-D-glucoside","Pinocembrin 7-O-[3′′-O-galloyl-4′′,6′′-(S)-hexahydroxydiphenoyl]-β-D-glucoside",205370-59-8,872.6970,C42H32O21,,酚酸,O=C(OC1[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)[C@H](O)[C@H](OC3=CC(O)=C(C(CC(C4=CC=CC=C4)O5)=O)C5=C3)O[C@@H]1COC6=O)C7=CC(O)=C(O)C(O)=C7C8=C6C=C(O)C(O)=C8O,"InChI=1S/C42H32O21/c43-19-8-16(9-26-30(19)20(44)12-25(60-26)14-4-2-1-3-5-14)59-42-36(54)38(63-39(55)15-6-21(45)31(49)22(46)7-15)37-27(61-42)13-58-40(56)17-10-23(47)32(50)34(52)28(17)29-18(41(57)62-37)11-24(48)33(51)35(29)53/h1-11,25,27,36-38,42-43,45-54H,12-13H2/t25?,27-,36+,37?,38-,42-/m1/s1",HJEXOQUMFMERIM-HPNBGKGUSA-N,赶黄草
PECH-018,Thonningianin A,Thonningianin A,271579-11-4,874.7130,C42H34O21,,酚酸,O=C(OC1[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)[C@H](O)[C@H](OC3=CC(O)=C(C(CCC4=CC=CC=C4)=O)C(O)=C3)O[C@@H]1COC5=O)C6=CC(O)=C(O)C(O)=C6C7=C5C=C(O)C(O)=C7O,"InChI=1S/C42H34O21/c43-20(7-6-15-4-2-1-3-5-15)30-21(44)10-17(11-22(30)45)60-42-36(55)38(63-39(56)16-8-23(46)31(50)24(47)9-16)37-27(61-42)14-59-40(57)18-12-25(48)32(51)34(53)28(18)29-19(41(58)62-37)13-26(49)33(52)35(29)54/h1-5,8-13,27,36-38,42,44-55H,6-7,14H2/t27-,36+,37?,38-,42-/m1/s1",XQVKQEFQGYTUAR-IAIFDNKZSA-N,赶黄草
PECH-019,"2′,4′,6′-Trihydroxyacetophenone 4′-O-[4,6-(S)-HHDP]-β-D-glucoside","2′,4′,6′-Trihydroxyacetophenone 4′-O-[4,6-(S)-HHDP]-β-D-glucoside",1781226-44-5,632.4830,C28H24O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=C(C(C)=O)C(O)=C2)O[C@@H]1CO3)C4=CC(O)=C(O)C(O)=C4C5=C(O)C(O)=C(O)C=C5C3=O,"InChI=1S/C28H24O17/c1-7(29)16-11(30)2-8(3-12(16)31)43-28-24(39)23(38)25-15(44-28)6-42-26(40)9-4-13(32)19(34)21(36)17(9)18-10(27(41)45-25)5-14(33)20(35)22(18)37/h2-5,15,23-25,28,30-39H,6H2,1H3/t15-,23-,24+,25?,28-/m1/s1",PFJCKKBMOOGJSX-XVZQCIKMSA-N,赶黄草
PECH-020,"(7'E,8R)-3,4-dihydroxy-2,4'-epoxy-8,3'-neolign-7'-en-7-one","(7'E,8R)-3,4-dihydroxy-2,4'-epoxy-8,3'-neolign-7'-en-7-one",/,296.3220,C18H16O4,,酚酸,OC1=CC=C2C(OC(C=CC(/C=C/C)=C3)=C3[C@@H](C)C2=O)=C1O,"InChI=1S/C18H16O4/c1-3-4-11-5-8-15-13(9-11)10(2)16(20)12-6-7-14(19)17(21)18(12)22-15/h3-10,19,21H,1-2H3/b4-3+/t10-/m1/s1",FMROJCGHWCVHEM-HMDXOVGESA-N,赶黄草
PECH-021,(+)-丁香脂素,(+)-Syringaresinol,21453-69-0,418.4420,C22H26O8,,苯丙素,OC(C(OC)=C1)=C(OC)C=C1[C@@H]2[C@]3([H])[C@]([C@@H](C4=CC(OC)=C(O)C(OC)=C4)OC3)([H])CO2,"InChI=1S/C22H26O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4H3/t13-,14-,21+,22+/m0/s1",KOWMJRJXZMEZLD-HCIHMXRSSA-N,赶黄草
PECH-022,Glochidiobioside,Glochidiobioside,220745-70-0,522.5470,C26H34O11,,苯丙素,OC[C@@H]1[C@@H](C2=CC(OC)=C(O)C=C2)OC3=C1C=C(CCCO[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)C=C3OC,"InChI=1S/C26H34O11/c1-33-18-10-14(5-6-17(18)29)24-16(11-27)15-8-13(9-19(34-2)25(15)37-24)4-3-7-35-26-23(32)22(31)21(30)20(12-28)36-26/h5-6,8-10,16,20-24,26-32H,3-4,7,11-12H2,1-2H3/t16-,20+,21+,22-,23+,24+,26+/m0/s1",DVWKMCPPEMUHBE-KUCLMONLSA-N,赶黄草
PECH-023,Hanultarin,Hanultarin,1067247-32-8,538.5930,C30H34O9,,苯丙素,O=C(OC[C@@H]([C@@H](CC1=CC(OC)=C(O)C=C1)CO)CC2=CC=C(O)C(OC)=C2)/C=C/C3=CC(OC)=C(O)C=C3,"InChI=1S/C30H34O9/c1-36-27-14-19(4-8-24(27)32)7-11-30(35)39-18-23(13-21-6-10-26(34)29(16-21)38-3)22(17-31)12-20-5-9-25(33)28(15-20)37-2/h4-11,14-16,22-23,31-34H,12-13,17-18H2,1-3H3/b11-7+/t22-,23-/m0/s1",YXLRFCDMMBITIW-ZDRWSHPDSA-N,赶黄草
PECH-024,"9,9′-O-Di-feruloyl-(-)-secoisolariciresinol","9,9′-O-Di-feruloyl-(-)-secoisolariciresinol",56973-66-1,714.7640,C40H42O12,,苯丙素,O=C(OC[C@@H]([C@H](COC(/C=C/C1=CC(OC)=C(O)C=C1)=O)CC2=CC=C(O)C(OC)=C2)CC3=CC=C(O)C(OC)=C3)/C=C/C4=CC(OC)=C(O)C=C4,"InChI=1S/C40H42O12/c1-47-35-19-25(5-11-31(35)41)9-15-39(45)51-23-29(17-27-7-13-33(43)37(21-27)49-3)30(18-28-8-14-34(44)38(22-28)50-4)24-52-40(46)16-10-26-6-12-32(42)36(20-26)48-2/h5-16,19-22,29-30,41-44H,17-18,23-24H2,1-4H3/b15-9+,16-10+/t29-,30-/m0/s1",MOFDLYLEJWQRHD-KYHQCPCQSA-N,赶黄草
PECH-025,东莨菪亭,Scopoletin,92-61-5,192.1700,C10H8O4,,苯丙素,O=C1OC2=CC(O)=C(OC)C=C2C=C1,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,赶黄草
PECH-026,滨蒿内酯,Scoparone,120-08-1,206.1970,C11H10O4,,苯丙素,O=C1OC2=CC(OC)=C(OC)C=C2C=C1,"InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3",GUAFOGOEJLSQBT-UHFFFAOYSA-N,赶黄草
PECH-027,东莨菪苷,Scopolin,531-44-2,354.3110,C16H18O9,,苯丙素,O=C1OC2=CC(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=C(OC)C=C2C=C1,"InChI=1S/C16H18O9/c1-22-9-4-7-2-3-12(18)23-8(7)5-10(9)24-16-15(21)14(20)13(19)11(6-17)25-16/h2-5,11,13-17,19-21H,6H2,1H3/t11-,13-,14+,15-,16-/m1/s1",SGTCGCCQZOUMJJ-YMILTQATSA-N,赶黄草
PECH-028,O-Methylmellein,O-Methylmellein,76985-75-6,192.2140,C11H12O3,,酚酸,O=C1C2=C(OC)C=CCOC1=C(O)C=C(C(OC2=C3C(C(O)=O)CC2=O)=O)C3=C1O=C2C[C@@H](C)O1,"InChI=1S/C11H12O3/c1-7-6-8-4-3-5-9(13-2)10(8)11(12)14-7/h3-5,7H,6H2,1-2H3/t7-/m1/s1",AYIDXPPINFIJKW-SSDOTTSWSA-N,赶黄草
PECH-029,短叶苏木酚酸,Brevifolincarboxylic acid,18490-95-4,292.1990,C13H8O8,,酚酸,OC1=C(O)C=C(C(OC2=C3C(C(O)=O)CC2=O)=O)C3=C1O,"InChI=1S/C13H8O8/c14-5-2-4-7(10(17)9(5)16)8-3(12(18)19)1-6(15)11(8)21-13(4)20/h2-3,14,16-17H,1H2,(H,18,19)",JFJWMFPFMLRLMI-UHFFFAOYSA-N,赶黄草
PECH-030,短叶苏木酚酸甲酯,Methyl brevifolincarboxylate,154702-76-8,306.2260,C14H10O8,,酚酸,OC1=C(O)C=C(C(OC2=C3C(C(OC)=O)CC2=O)=O)C3=C1O,"InChI=1S/C14H10O8/c1-21-13(19)5-3-7(16)12-9(5)8-4(14(20)22-12)2-6(15)10(17)11(8)18/h2,5,15,17-18H,3H2,1H3",JNWDNAASYHRXMG-UHFFFAOYSA-N,赶黄草
PECH-031,短叶苏木酚酸乙酯,Ethyl brevifolin carbosylate,107646-82-2,320.2530,C15H12O8,,酚酸,OC1=C(O)C=C(C(OC2=C3C(C(OCC)=O)CC2=O)=O)C3=C1O,"InChI=1S/C15H12O8/c1-2-22-14(20)6-4-8(17)13-10(6)9-5(15(21)23-13)3-7(16)11(18)12(9)19/h3,6,16,18-19H,2,4H2,1H3",JSEPSLOCPQODTM-UHFFFAOYSA-N,赶黄草
PECH-032,C-Veratroylglycol,C-Veratroylglycol,168293-10-5,212.2010,C10H12O5,,酚酸,OC1=CC=C(C(C(CO)O)=O)C=C1OC,"InChI=1S/C10H12O5/c1-15-9-4-6(2-3-7(9)12)10(14)8(13)5-11/h2-4,8,11-13H,5H2,1H3",UTXNRISXYKZJTH-UHFFFAOYSA-N,赶黄草
PECH-033,Coumaric acid 4-O-β-D-glucopyranoside,Coumaric acid 4-O-β-D-glucopyranoside,117405-49-9,326.3010,C15H18O8,,酚酸,O=C(O)/C=C/C1=CC=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C1,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-1-8(2-5-9)3-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)/b6-3+/t10-,12-,13+,14-,15-/m1/s1",LJFYQZQUAULRDF-FDGSXQGBSA-N,赶黄草
PECH-034,"2,6-Dihydroxyacetophenon-4-O-β-D-glucoside","2,6-Dihydroxyacetophenon-4-O-β-D-glucoside",5027-30-5,330.2890,C14H18O9,,酚酸,CC(C1=C(O)C=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C1O)=O,"InChI=1S/C14H18O9/c1-5(16)10-7(17)2-6(3-8(10)18)22-14-13(21)12(20)11(19)9(4-15)23-14/h2-3,9,11-15,17-21H,4H2,1H3/t9-,11-,12+,13-,14-/m1/s1",ARYSAKCPIBLSDO-RGCYKPLRSA-N,赶黄草
